city,country,name,price,rating,vote,distance
Madrid,Spain,Hostel OASIS,SEK 633,Scored 6.4 ,132 reviews,4.3 km from centre
Madrid,Spain,Hostel Thirty One,SEK 667,Scored 5.3 ,"2,190 reviews",3.9 km from centre
Madrid,Spain,Hostel SOFÍA,SEK 702,Scored 4.8 ,601 reviews,6.1 km from centre
Madrid,Spain,Habitación Familiar,SEK 805,Scored 6.3 ,482 reviews,7.5 km from centre
Madrid,Spain,Hostel sofía,SEK 828,Scored 5.5 ,"2,506 reviews",6.1 km from centre
Madrid,Spain,Lai Hostel,SEK 839,Scored 5.8 ,37 reviews,1.1 km from centre
Madrid,Spain,Hostel TKH-Rooms Mate,SEK 870,Scored 7.5 ,93 reviews,3.7 km from centre
Madrid,Spain,Madrid Downtown Hostel,SEK 903,Scored 6.9 ,"4,696 reviews",0.6 km from centre
Madrid,Spain,Boga Hostel,SEK 943,Scored 6.6 ,211 reviews,0.6 km from centre
Madrid,Spain,Arc House Madrid - Puerta del Sol Only Adults,SEK 978,Scored 7.2 ,"5,303 reviews",150 m from centre
Madrid,Spain,Arc House Pop Art,"SEK 1,001",Scored 6.3 ,547 reviews,1.1 km from centre
Madrid,Spain,Parsa Residencial House,"SEK 1,002",Scored 4.1 ,63 reviews,500 m from centre
Madrid,Spain,Hostel Estrella 20,"SEK 1,024",Scored 7.8 ,197 reviews,0.7 km from centre
Madrid,Spain,Multi Hostel Lavapies,"SEK 1,116",Scored 6.3 ,288 reviews,0.7 km from centre
Madrid,Spain,Hostels Meetingpoint,"SEK 1,127",Scored 7.0 ,"2,321 reviews",0.8 km from centre
Madrid,Spain,Fit Hostel Madrid,"SEK 1,155",Scored 5.7 ,203 reviews,1.4 km from centre
Madrid,Spain,Far Home Atocha,"SEK 1,160",Scored 8.6 ,"2,761 reviews",450 m from centre
Madrid,Spain,Petit Hostel Palacio Real,"SEK 1,162",Scored 8.4 ,"2,996 reviews",1.2 km from centre
Madrid,Spain,Hostel Center Madrid,"SEK 1,163",Scored 8.0 ,"2,005 reviews",0.7 km from centre
Madrid,Spain,Santo - Coworking - Coliving - Madrid,"SEK 1,175",Scored 7.9 ,"3,519 reviews",0.5 km from centre
Madrid,Spain,Hostel MYD La Latina,"SEK 1,180",Scored 6.2 ,"2,678 reviews",1.1 km from centre
Madrid,Spain,Petit Hostel La Latina,"SEK 1,185",Scored 8.0 ,"3,838 reviews",1.4 km from centre
Madrid,Spain,Bed Madrid Hostel by Bossh! Hotels,"SEK 1,185",Scored 7.0 ,614 reviews,1 km from centre
Madrid,Spain,Way Hostel Madrid,"SEK 1,189",Scored 8.8 ,"4,556 reviews",450 m from centre
Madrid,Spain,Hostel Vida Verde,"SEK 1,222",Scored 5.6 ,202 reviews,7.7 km from centre
