city,country,name,price,rating,vote,distance
Madrid,Spain,Hostel Thirty One,"SEK 3,669",Scored 5.3 ,"2,188 reviews",3.9 km from centre
Madrid,Spain,Hostel SOFÍA,"SEK 3,819",Scored 4.8 ,601 reviews,6.1 km from centre
Madrid,Spain,Hostel sofía,"SEK 3,934",Scored 5.5 ,"2,504 reviews",6.1 km from centre
Madrid,Spain,Hostel OASIS,"SEK 3,968",Scored 6.4 ,131 reviews,4.3 km from centre
Madrid,Spain,Hostel Vida Verde,"SEK 4,845",Scored 5.6 ,201 reviews,7.7 km from centre
Madrid,Spain,Hostel Estrella 20,"SEK 4,992",Scored 7.8 ,195 reviews,0.7 km from centre
Madrid,Spain,Hostel MYD La Latina,"SEK 5,114",Scored 6.2 ,"2,674 reviews",1.1 km from centre
Madrid,Spain,Fit Hostel Madrid,"SEK 5,148",Scored 5.7 ,202 reviews,1.4 km from centre
Madrid,Spain,Arc House Pop Art,"SEK 5,464",Scored 6.3 ,546 reviews,1.1 km from centre
Madrid,Spain,Motion Chueca Hostel,"SEK 5,585",Scored 4.9 ,"7,066 reviews",0.6 km from centre
Madrid,Spain,Petit Hostel La Latina,"SEK 5,632",Scored 8.0 ,"3,842 reviews",1.4 km from centre
Madrid,Spain,Hostel M Torres,"SEK 5,728",Scored 8.4 ,258 reviews,11.9 km from centre
Madrid,Spain,Bed Madrid Hostel by Bossh! Hotels,"SEK 6,016",Scored 7.0 ,614 reviews,1 km from centre
Madrid,Spain,Hostels Meetingpoint,"SEK 6,085",Scored 7.0 ,"2,319 reviews",0.8 km from centre
Madrid,Spain,Hostal Siesta & Go Nuevos Ministerios,"SEK 6,376",Scored 7.8 ,428 reviews,3.6 km from centre
Madrid,Spain,min hostel capsules,"SEK 6,648",Scored 6.5 ,544 reviews,5.6 km from centre
Madrid,Spain,Madriz Hostel,"SEK 6,998",Scored 7.7 ,"1,057 reviews",1.2 km from centre
Madrid,Spain,Debod Hostel,"SEK 7,040",Scored 8.1 ,852 reviews,1.8 km from centre
Madrid,Spain,Madrid Motion Hostels,"SEK 7,193",Scored 5.9 ,"4,599 reviews",350 m from centre
Madrid,Spain,Toc Hostel Madrid,"SEK 7,290",Scored 8.8 ,"3,808 reviews",200 m from centre
Madrid,Spain,The Adventure Hostel Gran Vía,"SEK 7,578",Scored 7.6 ,"1,399 reviews",0.7 km from centre
Madrid,Spain,Live It Madrid Chamberi,"SEK 9,432",Scored 7.3 ,229 reviews,1.7 km from centre
Madrid,Spain,Good Vibes Madrid,"SEK 9,605",,,5.5 km from centre
Madrid,Spain,Velvet Hostels Pacifico,"SEK 10,364",Scored 8.4 ,156 reviews,2.7 km from centre
Madrid,Spain,OXYGEN HOSTEL Capsula,"SEK 10,439",Scored 8.1 ,"2,564 reviews",1.8 km from centre
