app_max_temp,app_min_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,high_temp,low_temp,max_dhi,max_temp,min_temp,moon_phase,moon_phase_lunation,moonrise_ts,moonset_ts,ozone,pop,precip,pres,rh,slp,snow,snow_depth,sunrise_ts,sunset_ts,temp,ts,uv,valid_date,vis,weather,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd,city
14.2,9.5,99,93,87,93,2024-11-23,9.4,15.4,13.9,,14.2,9.5,0.36,0.76,1732402101,1732368866,,40,1.2271484,997,83,998,0,0,1732347090,1732377605,12.1,1732345260,0,2024-11-23,,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}",SSW,south-southwest,201,17.2,7.3,London
15.8,12.8,93,97,76,82,2024-11-24,11.6,15.8,10.3,,15.8,12.8,0.27,0.79,1732406468,1732455832,264.0,75,6.344531,994,81,995,0,0,1732433584,1732463949,14.9,1732406460,1,2024-11-24,22.7,"{'description': 'Light rain', 'code': 500, 'icon': 'r01d'}",SSW,south-southwest,207,16.7,10.3,London
12.2,3.3,56,39,64,41,2024-11-25,6.9,11.3,5.0,,12.2,6.4,0.19,0.82,1732497083,1732542796,271.0,75,6.1,999,82,1001,0,0,1732520077,1732550297,9.9,1732492860,2,2024-11-25,21.9,"{'description': 'Light rain', 'code': 500, 'icon': 'r01d'}",SW,southwest,234,9.3,5.6,London
8.3,1.8,52,7,32,60,2024-11-26,4.5,8.3,5.2,,8.3,5.0,0.12,0.86,1732587637,1732629812,287.0,65,4.0,1012,90,1014,0,0,1732606569,1732636647,6.1,1732579260,2,2024-11-26,21.5,"{'description': 'Light shower rain', 'code': 520, 'icon': 'r04d'}",SW,southwest,223,6.4,3.6,London
3.6,-0.3,70,1,78,82,2024-11-27,4.0,5.7,1.5,,6.7,2.8,0.07,0.89,1732678223,1732716946,296.0,85,10.0,1010,93,1014,0,0,1732693059,1732723000,5.0,1732665660,1,2024-11-27,19.9,"{'description': 'Light rain', 'code': 500, 'icon': 'r01d'}",W,west,275,8.0,4.7,London
4.1,-1.7,49,0,29,3,2024-11-28,2.5,6.1,3.6,,6.1,1.5,0.03,0.92,1732768918,1732804288,312.0,0,0.0,1023,93,1027,0,0,1732779548,1732809356,3.6,1732752060,2,2024-11-28,24.0,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03d'}",SSW,south-southwest,213,5.1,2.7,London
8.0,1.1,58,21,1,0,2024-11-29,4.5,8.0,6.9,,8.0,3.6,0.01,0.96,1732859763,1732891979,279.0,0,0.0,1027,91,1030,0,0,1732866036,1732895715,5.9,1732838460,2,2024-11-29,24.0,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03d'}",SE,southeast,136,6.0,3.4,London
9.7,3.9,74,63,8,39,2024-11-30,6.8,9.7,8.3,,9.7,6.9,0.0,0.99,1732950723,1732980224,282.0,0,0.0,1023,90,1025,0,0,1732952521,1732982078,8.3,1732924860,2,2024-11-30,24.0,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}",SSE,south-southeast,167,7.4,4.4,London
10.9,8.3,78,63,32,44,2024-12-01,7.9,10.9,8.0,,10.9,8.3,0.02,0.02,1733041625,1733069276,286.0,0,0.0,1020,92,1022,0,0,1733039005,1733068443,9.2,1733011260,2,2024-12-01,24.0,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}",S,south,191,7.8,4.7,London
9.7,7.7,74,47,32,44,2024-12-02,7.6,9.7,7.1,,9.7,7.7,0.06,0.06,1733132147,1733159291,297.0,0,0.0,1020,93,1022,0,0,1733125487,1733154812,8.6,1733097660,2,2024-12-02,24.0,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}",SSW,south-southwest,199,8.7,5.2,London
9.0,3.9,69,76,0,5,2024-12-03,6.9,10.9,7.3,,9.0,7.1,0.13,0.09,1733221934,1733250143,296.0,0,0.0,1022,93,1025,0,0,1733211967,1733241184,7.9,1733184060,2,2024-12-03,24.0,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03d'}",S,south,182,7.7,4.7,London
12.5,9.9,1,5,1,0,2024-12-04,8.6,13.8,9.1,,13.8,8.9,0.21,0.13,1733310852,1733341477,287.0,0,0.0,1019,85,1021,0,0,1733298444,1733327559,11.2,1733270460,2,2024-12-04,24.0,"{'description': 'Clear Sky', 'code': 800, 'icon': 'c01d'}",S,south,181,10.1,3.0,London
12.2,10.1,77,50,33,77,2024-12-05,8.7,13.4,9.4,,13.4,9.1,0.31,0.16,1733399036,1733432964,310.0,35,1.125,1012,85,1014,0,0,1733384920,1733413937,11.2,1733356860,2,2024-12-05,24.0,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}",SW,southwest,218,10.7,4.6,London
13.5,10.5,70,99,51,70,2024-12-06,9.0,14.8,10.7,,14.8,9.4,0.42,0.19,1733486715,1733524438,264.0,40,1.3125,1008,82,1010,0,0,1733471394,1733500319,12.0,1733443260,2,2024-12-06,19.2,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03d'}",SSW,south-southwest,204,19.3,8.4,London
11.9,11.3,11,5,11,1,2024-12-07,5.8,12.8,10.4,,13.0,10.2,0.54,0.23,1733574087,1733615879,279.0,50,1.9375,1010,68,1012,0,0,1733557865,1733586704,11.6,1733529660,2,2024-12-07,24.0,"{'description': 'Light shower rain', 'code': 520, 'icon': 'r04d'}",SW,southwest,236,18.2,8.2,London
12.0,11.6,99,50,99,98,2024-12-08,8.0,13.2,9.1,,13.2,10.4,0.66,0.26,1733661289,1733620953,300.0,50,2.0625,1015,78,1017,0,0,1733644334,1733673092,11.8,1733616060,2,2024-12-08,16.5,"{'description': 'Light shower rain', 'code': 520, 'icon': 'r04d'}",WSW,west-southwest,244,13.4,6.4,London
