app_max_temp,app_min_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,high_temp,low_temp,max_dhi,max_temp,min_temp,moon_phase,moon_phase_lunation,moonrise_ts,moonset_ts,ozone,pop,precip,pres,rh,slp,snow,snow_depth,sunrise_ts,sunset_ts,temp,ts,uv,valid_date,vis,weather,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd,city
15.6,10.0,52,36,51,44,2024-11-25,8.1,15.6,5.7,,15.6,10.0,0.19,0.82,1732498237,1732544224,302,60,3.2026367,941,71,1016,0,0,1732518703,1732553384,13.3,1732489260,2,2024-11-25,24.0,"{'description': 'Light shower rain', 'code': 520, 'icon': 'r04d'}",SW,southwest,215,7.5,2.7,Madrid
11.2,5.6,59,78,14,54,2024-11-26,5.4,11.2,4.5,,11.2,5.7,0.12,0.86,1732588194,1732631814,290,0,0.0,947,81,1024,0,0,1732605169,1732639760,8.4,1732575660,1,2024-11-26,24.0,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03d'}",S,south,173,2.0,0.7,Madrid
13.7,3.7,9,20,2,7,2024-11-27,3.9,13.7,5.1,,13.7,4.2,0.07,0.89,1732678176,1732719546,293,0,0.0,948,76,1026,0,0,1732691633,1732726138,8.3,1732662060,3,2024-11-27,24.0,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02d'}",NNE,north-northeast,29,2.4,0.9,Madrid
14.5,4.1,1,3,0,5,2024-11-28,4.5,14.5,5.8,,14.5,4.7,0.03,0.92,1732768246,1732807514,294,0,0.0,949,74,1027,0,0,1732778097,1732812518,9.0,1732748460,3,2024-11-28,24.0,"{'description': 'Clear Sky', 'code': 800, 'icon': 'c01d'}",ENE,east-northeast,58,2.6,0.9,Madrid
15.6,5.3,1,17,4,3,2024-11-29,6.2,15.6,7.1,,15.6,5.8,0.0,0.96,1732858439,1732895829,296,0,0.0,950,79,1027,0,0,1732864560,1732898901,10.0,1732834860,3,2024-11-29,24.0,"{'description': 'Clear Sky', 'code': 800, 'icon': 'c01d'}",ENE,east-northeast,58,2.4,0.9,Madrid
15.3,6.8,8,9,15,11,2024-11-30,7.3,15.3,9.6,,15.3,7.1,0.0,0.99,1732948741,1732984617,300,0,0.0,948,86,1026,0,0,1732951021,1732985286,9.7,1732921260,3,2024-11-30,24.0,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02d'}",E,east,82,2.4,1.4,Madrid
11.8,9.6,74,51,57,50,2024-12-01,7.5,11.8,7.3,,11.8,9.6,0.02,0.02,1733039059,1733073977,309,75,5.875,938,82,1016,0,0,1733037483,1733071673,10.8,1733007660,3,2024-12-01,17.8,"{'description': 'Light rain', 'code': 500, 'icon': 'r01d'}",SW,southwest,219,6.9,4.2,Madrid
12.0,7.3,40,36,20,20,2024-12-02,3.7,12.0,7.4,,12.0,7.3,0.07,0.06,1733129218,1733163920,319,0,0.0,938,68,1016,0,0,1733123943,1733158062,9.3,1733094060,3,2024-12-02,24.0,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02d'}",WSW,west-southwest,237,4.2,2.7,Madrid
9.2,7.4,98,100,84,73,2024-12-03,6.1,9.6,8.2,,9.2,7.4,0.13,0.09,1733219014,1733254326,291,60,3.0,941,87,1019,0,0,1733210402,1733244454,8.2,1733180460,3,2024-12-03,23.8,"{'description': 'Light shower rain', 'code': 520, 'icon': 'r04d'}",SSW,south-southwest,194,3.6,2.2,Madrid
12.3,9.3,99,96,99,63,2024-12-04,9.5,12.3,11.2,,12.3,9.3,0.21,0.13,1733308314,1733344993,287,50,2.0,942,93,1019,0,0,1733296859,1733330848,10.6,1733266860,3,2024-12-04,20.7,"{'description': 'Light shower rain', 'code': 520, 'icon': 'r04d'}",SSW,south-southwest,207,6.2,3.1,Madrid
